name,description,price,category,brand,age_limit,image_url,interest_tags,occasion_tags,relationship_tags
Книга по астрономии,Иллюстрированная книга о космосе,1200,книги,BookLab,12,,космос|книги|наука,день рождения|новый год|юбилей,друг|коллега|родственник|партнёр
Портативная колонка,Компактная bluetooth-колонка для музыки,3400,техника,SoundGo,0,,музыка|техника,день рождения|новый год,друг|партнёр|коллега
Беспроводные наушники,Наушники для музыки и звонков,4800,техника,AudioBeat,0,,музыка|техника,день рождения|новый год|юбилей,друг|партнёр|коллега
Телескоп,Любительский телескоп для начинающих,9500,техника,SkyView,12,,космос|наука|техника,день рождения|юбилей,друг|партнёр|родственник
Плед,Мягкий уютный плед для дома,1800,дом,CozyHome,0,,дом|уют,новый год|юбилей,партнёр|родственник
Термокружка,Удобная термокружка для офиса и прогулок,1300,аксессуары,HotCup,0,,путешествия|кофе|офис,новый год|юбилей,коллега|друг
Сертификат в книжный магазин,Подарочный сертификат для любителей чтения,3000,сертификаты,ReadMore,0,,книги,день рождения|новый год|юбилей,друг|коллега|родственник
Настольная игра,Стратегическая игра для компании друзей,2200,настольные игры,BoardFun,12,,настольные игры|логика,день рождения|новый год,друг|коллега|родственник
Конструктор космический,Тематический набор конструктора про космос,2700,игрушки,SpaceBuild,6,,космос|конструкторы,день рождения|новый год,друг|родственник
Фотоальбом,Красивый альбом для памятных фотографий,1600,сувениры,MemoryBox,0,,фото|творчество,юбилей|день рождения,партнёр|родственник
Набор чая,Подарочный набор ароматного чая,1100,еда,TeaTime,0,,чай|уют,новый год|юбилей,коллега|родственник|друг
Ежедневник,Стильный ежедневник для записей и планов,900,канцелярия,NotePro,0,,офис|книги,новый год|юбилей,коллега|друг|партнёр
Умная лампа,Светильник с настройкой цвета и яркости,2900,техника,LightHome,0,,техника|дом,новый год|день рождения,друг|партнёр|родственник
Фитнес-браслет,Браслет для отслеживания активности,4100,техника,FitWay,0,,спорт|техника,день рождения|новый год,друг|партнёр
Набор для рисования,Большой творческий набор для детей и взрослых,1500,творчество,ArtKids,6,,рисование|творчество,день рождения|новый год,друг|родственник
Акварельные маркеры,Набор маркеров для творчества и скетчинга,1800,творчество,ColorMood,6,,рисование|творчество,день рождения|новый год,друг|родственник
Скетчбук,Плотный альбом для рисунков и заметок,700,творчество,PaperSky,0,,рисование|книги|творчество,день рождения|новый год,друг|коллега|партнёр
Набор кистей,Набор художественных кистей разных размеров,950,творчество,BrushArt,0,,рисование|творчество,день рождения|новый год,друг|родственник
Пазл Космос,Пазл с изображением галактики на 1000 деталей,1400,настольные игры,PuzzleStar,12,,космос|логика,новый год|день рождения,друг|родственник
Постер с созвездиями,Декоративный постер с картой ночного неба,800,сувениры,SpacePrint,0,,космос|дом,день рождения|новый год,друг|партнёр|родственник
Ночник проектор звёзд,Проектор звёздного неба для комнаты,2600,дом,NightSky,0,,космос|уют|дом,новый год|день рождения,партнёр|родственник|друг
Лего робот,Конструктор робота с подвижными элементами,3900,игрушки,BuildTech,8,,техника|конструкторы,день рождения|новый год,друг|родственник
Набор головоломок,Коллекция логических задач и головоломок,1700,настольные игры,ThinkBox,12,,логика|настольные игры,день рождения|новый год,друг|коллега
Шахматы дорожные,Компактный набор шахмат для поездок,2100,настольные игры,ClassicGame,6,,логика|настольные игры,юбилей|день рождения,друг|коллега|родственник
Кофеварка капельная,Компактная кофеварка для дома,5200,техника,CoffeeJoy,0,,кофе|дом|техника,юбилей|новый год,родственник|партнёр
Набор кофе,Подарочный набор зернового кофе,1500,еда,RoastBox,0,,кофе|уют,новый год|юбилей,коллега|друг|родственник
Френч-пресс,Стеклянный френч-пресс для кофе и чая,1400,дом,KitchenMood,0,,кофе|чай|дом,новый год|юбилей,коллега|родственник
Термос,Термос для горячих напитков в поездках,1900,аксессуары,ThermoGo,0,,чай|кофе|путешествия,новый год|день рождения,друг|коллега
Рюкзак городской,Удобный городской рюкзак на каждый день,3600,аксессуары,UrbanPack,0,,путешествия|спорт,день рождения|новый год,друг|коллега
Дорожная подушка,Подушка для путешествий и перелётов,900,аксессуары,TripRest,0,,путешествия|уют,новый год|день рождения,друг|родственник
Скретч-карта мира,Карта путешествий для отметки посещённых стран,1500,сувениры,WorldTrack,0,,путешествия|дом,день рождения|новый год,друг|партнёр
Пауэрбанк,Внешний аккумулятор на 10000 mAh,2400,техника,PowerUp,0,,техника|путешествия,день рождения|новый год,друг|коллега
Чехол для ноутбука,Защитный чехол для ноутбука 13 дюймов,1800,аксессуары,SleevePro,0,,техника|офис,новый год|юбилей,коллега|друг
Механическая клавиатура,Компактная клавиатура для работы и игр,6200,техника,KeyMaster,0,,техника|игры,день рождения|новый год,друг|партнёр
Игровая мышь,Мышь с подсветкой и дополнительными кнопками,2800,техника,GamePoint,0,,техника|игры,день рождения|новый год,друг
Коврик для мыши XL,Большой коврик для рабочего стола,1200,аксессуары,DeskFlow,0,,техника|игры|офис,новый год|день рождения,друг|коллега
Подставка для ноутбука,Алюминиевая подставка для ноутбука,2300,техника,WorkEase,0,,техника|офис,новый год|юбилей,коллега|друг
Настольный органайзер,Органайзер для канцелярии и мелочей,1100,канцелярия,DeskLine,0,,офис|дом,новый год|юбилей,коллега|родственник
Набор ручек,Качественные ручки в подарочном футляре,1000,канцелярия,WriteFine,0,,офис|книги,юбилей|новый год,коллега|друг
Книга по психологии,Популярная книга о мышлении и эмоциях,1300,книги,MindBooks,16,,книги|психология,день рождения|юбилей,друг|коллега|родственник
Книга по программированию,Практическое руководство по Python,2400,книги,CodePress,16,,книги|техника|программирование,день рождения|новый год,друг|коллега
Комикс коллекционный,Издание комикса в твёрдом переплёте,1900,книги,ComicHub,12,,книги|кино|игры,день рождения|новый год,друг
Светящаяся гирлянда,Декоративная гирлянда для уюта,1200,дом,GlowHome,0,,дом|уют,новый год|юбилей,партнёр|родственник
Аромасвеча,Свеча с мягким ароматом ванили,900,дом,CozyScent,0,,уют|дом,новый год|юбилей,партнёр|родственник
Диффузор ароматический,Ароматический диффузор для комнаты,1700,дом,AromaLife,0,,уют|дом,юбилей|новый год,партнёр|родственник
Набор для выпечки,Формы и аксессуары для домашней выпечки,2100,дом,BakeHome,0,,еда|дом|творчество,новый год|юбилей,родственник|партнёр
Кулинарная книга,Книга с рецептами десертов и выпечки,1600,книги,KitchenBook,0,,еда|книги|дом,новый год|юбилей,родственник|друг
Бокал термостойкий,Красивый термостойкий стакан для напитков,850,дом,GlassMood,0,,чай|кофе|уют,новый год|юбилей,коллега|друг
Мини-увлажнитель,Компактный USB-увлажнитель воздуха,2100,техника,AirSoft,0,,дом|техника|уют,новый год|день рождения,коллега|родственник
Настольный вентилятор,Портативный вентилятор для дома и офиса,1900,техника,CoolDesk,0,,дом|офис|техника,новый год|юбилей,коллега|родственник
Скакалка умная,Скакалка со счётчиком прыжков,1300,спорт,JumpFit,0,,спорт|техника,день рождения|новый год,друг
Йога-коврик,Коврик для тренировок и растяжки,2500,спорт,ZenMove,0,,спорт|здоровье,день рождения|новый год,друг|партнёр
Спортивная бутылка,Бутылка для воды для зала и прогулок,900,спорт,HydroFit,0,,спорт|путешествия,новый год|день рождения,друг|коллега
Набор эспандеров,Набор резинок для тренировок дома,1700,спорт,FitBand,0,,спорт|здоровье,новый год|день рождения,друг|партнёр
Футболка с принтом космос,Хлопковая футболка с космическим принтом,1600,одежда,StarWear,0,,космос|одежда,день рождения|новый год,друг
Худи музыкальное,Толстовка с минималистичным музыкальным дизайном,3200,одежда,SoundStyle,0,,музыка|одежда,день рождения|новый год,друг|партнёр
Носки подарочные,Набор ярких тематических носков,700,одежда,ComfyStep,0,,уют|одежда,новый год|день рождения,друг|коллега|родственник
Брелок космонавт,Металлический брелок в виде космонавта,500,сувениры,OrbitGift,0,,космос,новый год|день рождения,друг|коллега
Мини-террариум,Небольшой декоративный флорариум для интерьера,2800,дом,GreenGlass,0,,дом|уют|природа,юбилей|новый год,партнёр|родственник
Набор для выращивания,Домашний набор для выращивания базилика,1300,дом,GrowBox,0,,природа|дом|творчество,новый год|день рождения,родственник|друг
Кинопостер,Постер с культовым фильмом в рамке,1400,сувениры,CinemaWall,0,,кино|дом,день рождения|новый год,друг|партнёр
Подписка на киносервис,Подарочная подписка на онлайн-кинотеатр,2500,сертификаты,MoviePass,0,,кино|музыка,день рождения|новый год,друг|партнёр|коллега
Подписка на музыку,Подарочная подписка на музыкальный сервис,1800,сертификаты,MusicPass,0,,музыка,день рождения|новый год,друг|партнёр|коллега
Настольная лампа,Лампа для рабочего стола с регулировкой яркости,2600,дом,BrightDesk,0,,офис|дом|техника,новый год|юбилей,коллега|родственник
Ручной массажёр,Компактный массажёр для шеи и спины,3500,здоровье,RelaxGo,0,,здоровье|уют,юбилей|новый год,родственник|партнёр

